M- 
Integration time: 6000 ms
Average: 1 scans
Nr of pixels used for smoothing: 0
Data measured with spectrometer serial number: 0604021S1
Wave   ;Sample
[nm]   ;[counts]
173,70;148,00
174,30;-50,000
174,90;-37,000
175,50;77,000
176,10;-31,000
176,70;129,00
177,30;-1,0000
177,90;-34,000
178,50;39,000
179,10;-24,000
179,70;-15,000
180,30;27,000
180,89;137,00
181,49;34,000
182,09;175,00
182,69;80,000
183,29;-3,0000
183,89;76,000
184,49;103,00
185,09;-22,000
185,69;-1,0000
186,29;54,000
186,89;-69,000
187,48;-69,000
188,08;46,000
188,68;52,000
189,28;46,000
189,88;50,000
190,48;-111,00
191,08;53,000
191,68;-66,000
192,28;46,000
192,87;112,00
193,47;16,000
194,07;10,0000
194,67;-11,000
195,27;151,00
195,87;-11,000
196,47;-49,000
197,06;79,000
197,66;111,00
198,26;127,00
198,86;-131,00
199,46;57,000
200,06;89,000
200,66;-46,000
201,25;3,0000
201,85;85,000
202,45;-21,000
203,05;28,000
203,65;36,000
204,24;12,000
204,84;49,000
205,44;-23,000
206,04;108,00
206,64;20,000
207,24;117,00
207,83;5,0000
208,43;-27,000
209,03;205,00
209,63;45,000
210,22;60,000
210,82;-58,000
211,42;79,000
212,02;14,000
212,62;34,000
213,21;115,00
213,81;73,000
214,41;219,00
215,01;69,000
215,60;88,000
216,20;11,000
216,80;77,000
217,40;55,000
218,00;12,000
218,59;22,000
219,19;133,00
219,79;124,00
220,38;53,000
220,98;-21,000
221,58;70,000
222,18;132,00
222,77;12,000
223,37;89,000
223,97;166,00
224,57;29,000
225,16;91,000
225,76;34,000
226,36;31,000
226,95;150,00
227,55;70,000
228,15;-22,000
228,75;146,00
229,34;-31,000
229,94;52,000
230,54;94,000
231,13;-28,000
231,73;94,000
232,33;10,0000
232,92;169,00
233,52;87,000
234,12;67,000
234,71;199,00
235,31;42,000
235,91;159,00
236,50;176,00
237,10;6,0000
237,70;132,00
238,29;16,000
238,89;33,000
239,49;175,00
240,08;74,000
240,68;79,000
241,28;49,000
241,87;-90,000
242,47;38,000
243,06;-2,0000
243,66;132,00
244,26;118,00
244,85;43,000
245,45;27,000
246,05;-57,000
246,64;250,00
247,24;5,0000
247,83;123,00
248,43;127,00
249,03;94,000
249,62;111,00
250,22;28,000
250,81;133,00
251,41;-2,0000
252,01;-23,000
252,60;92,000
253,20;109,00
253,79;12,000
254,39;4,0000
254,98;145,00
255,58;48,000
256,18;135,00
256,77;13,000
257,37;48,000
257,96;16,000
258,56;126,00
259,15;214,00
259,75;16,000
260,34;80,000
260,94;20,000
261,53;-105,00
262,13;101,00
262,73;-42,000
263,32;86,000
263,92;0
264,51;66,000
265,11;88,000
265,70;35,000
266,30;75,000
266,89;-8,0000
267,49;65,000
268,08;56,000
268,68;39,000
269,27;75,000
269,87;76,000
270,46;25,000
271,06;73,000
271,65;13,000
272,25;117,00
272,84;45,000
273,44;96,000
274,03;55,000
274,62;-2,0000
275,22;132,00
275,81;36,000
276,41;25,000
277,00;119,00
277,60;61,000
278,19;-4,0000
278,79;33,000
279,38;78,000
279,98;-1,0000
280,57;103,00
281,16;98,000
281,76;184,00
282,35;276,00
282,95;119,00
283,54;211,00
284,14;70,000
284,73;155,00
285,32;120,00
285,92;158,00
286,51;97,000
287,11;7,0000
287,70;7,0000
288,29;88,000
288,89;134,00
289,48;20,000
290,08;40,000
290,67;121,00
291,26;136,00
291,86;115,00
292,45;32,000
293,04;167,00
293,64;200,00
294,23;364,00
294,83;536,00
295,42;1086,0
296,01;1129,0
296,61;1537,0
297,20;1876,0
297,79;1906,0
298,39;1604,0
298,98;1174,0
299,57;1053,0
300,17;774,00
300,76;531,00
301,35;202,00
301,95;188,00
302,54;8,0000
303,13;75,000
303,73;82,000
304,32;214,00
304,91;135,00
305,51;148,00
306,10;74,000
306,69;128,00
307,28;109,00
307,88;188,00
308,47;191,00
309,06;272,00
309,66;518,00
310,25;668,00
310,84;1088,0
311,43;1296,0
312,03;1682,0
312,62;2352,0
313,21;3205,0
313,81;3359,0
314,40;3927,0
314,99;5813,0
315,58;7563,0
316,18;7368,0
316,77;6847,0
317,36;6034,0
317,95;5277,0
318,54;4579,0
319,14;3183,0
319,73;795,00
320,32;243,00
320,91;195,00
321,51;267,00
322,10;219,00
322,69;242,00
323,28;209,00
323,87;164,00
324,47;319,00
325,06;335,00
325,65;489,00
326,24;552,00
326,83;690,00
327,43;853,00
328,02;836,00
328,61;1002,0
329,20;1041,0
329,79;972,00
330,39;962,00
330,98;882,00
331,57;725,00
332,16;661,00
332,75;736,00
333,34;846,00
