M- 268
Integration time: 3000 ms
Average: 1 scans
Nr of pixels used for smoothing: 0
Data measured with spectrometer serial number: 0604021S1
Wave   ;Sample
[nm]   ;[counts]
173,70;42,000
174,30;83,000
174,90;107,00
175,50;100,000
176,10;56,000
176,70;116,00
177,30;74,000
177,90;60,000
178,50;-11,000
179,10;48,000
179,70;-43,000
180,30;26,000
180,89;58,000
181,49;51,000
182,09;85,000
182,69;25,000
183,29;14,000
183,89;104,00
184,49;70,000
185,09;43,000
185,69;7,0000
186,29;39,000
186,89;36,000
187,48;83,000
188,08;63,000
188,68;120,00
189,28;-11,000
189,88;-14,000
190,48;53,000
191,08;26,000
191,68;93,000
192,28;74,000
192,87;43,000
193,47;40,000
194,07;74,000
194,67;48,000
195,27;1,0000
195,87;69,000
196,47;30,000
197,06;60,000
197,66;18,000
198,26;57,000
198,86;74,000
199,46;31,000
200,06;44,000
200,66;73,000
201,25;111,00
201,85;86,000
202,45;72,000
203,05;35,000
203,65;61,000
204,24;42,000
204,84;43,000
205,44;244,00
206,04;79,000
206,64;56,000
207,24;-3,0000
207,83;80,000
208,43;28,000
209,03;111,00
209,63;70,000
210,22;121,00
210,82;111,00
211,42;77,000
212,02;84,000
212,62;68,000
213,21;109,00
213,81;61,000
214,41;-1,0000
215,01;116,00
215,60;63,000
216,20;54,000
216,80;59,000
217,40;-2,0000
218,00;86,000
218,59;2,0000
219,19;68,000
219,79;57,000
220,38;139,00
220,98;146,00
221,58;104,00
222,18;93,000
222,77;90,000
223,37;22,000
223,97;68,000
224,57;128,00
225,16;92,000
225,76;93,000
226,36;87,000
226,95;124,00
227,55;112,00
228,15;80,000
228,75;54,000
229,34;124,00
229,94;117,00
230,54;59,000
231,13;51,000
231,73;107,00
232,33;90,000
232,92;65,000
233,52;105,00
234,12;127,00
234,71;46,000
235,31;141,00
235,91;76,000
236,50;79,000
237,10;45,000
237,70;96,000
238,29;80,000
238,89;93,000
239,49;76,000
240,08;-6,0000
240,68;72,000
241,28;152,00
241,87;82,000
242,47;146,00
243,06;45,000
243,66;71,000
244,26;53,000
244,85;62,000
245,45;67,000
246,05;31,000
246,64;148,00
247,24;24,000
247,83;129,00
248,43;140,00
249,03;169,00
249,62;73,000
250,22;173,00
250,81;147,00
251,41;146,00
252,01;110,00
252,60;30,000
253,20;140,00
253,79;48,000
254,39;74,000
254,98;182,00
255,58;134,00
256,18;116,00
256,77;86,000
257,37;3,0000
257,96;168,00
258,56;65,000
259,15;189,00
259,75;167,00
260,34;92,000
260,94;106,00
261,53;277,00
262,13;115,00
262,73;96,000
263,32;49,000
263,92;116,00
264,51;177,00
265,11;95,000
265,70;120,00
266,30;85,000
266,89;65,000
267,49;17,000
268,08;174,00
268,68;122,00
269,27;58,000
269,87;98,000
270,46;260,00
271,06;46,000
271,65;143,00
272,25;123,00
272,84;86,000
273,44;146,00
274,03;120,00
274,62;188,00
275,22;124,00
275,81;7,0000
276,41;105,00
277,00;128,00
277,60;67,000
278,19;13,000
278,79;106,00
279,38;122,00
279,98;127,00
280,57;142,00
281,16;84,000
281,76;111,00
282,35;190,00
282,95;207,00
283,54;118,00
284,14;152,00
284,73;213,00
285,32;103,00
285,92;159,00
286,51;65,000
287,11;94,000
287,70;113,00
288,29;193,00
288,89;178,00
289,48;48,000
290,08;142,00
290,67;87,000
291,26;232,00
291,86;34,000
292,45;106,00
293,04;183,00
293,64;158,00
294,23;307,00
294,83;412,00
295,42;646,00
296,01;778,00
296,61;969,00
297,20;1145,0
297,79;1022,0
298,39;1060,0
298,98;803,00
299,57;619,00
300,17;441,00
300,76;411,00
301,35;121,00
301,95;123,00
302,54;122,00
303,13;170,00
303,73;103,00
304,32;158,00
304,91;146,00
305,51;154,00
306,10;120,00
306,69;187,00
307,28;159,00
307,88;281,00
308,47;251,00
309,06;337,00
309,66;503,00
310,25;550,00
310,84;796,00
311,43;1087,0
312,03;1218,0
312,62;1574,0
313,21;1977,0
313,81;2189,0
314,40;2523,0
314,99;3170,0
315,58;4008,0
316,18;3900,0
316,77;3687,0
317,36;3038,0
317,95;2958,0
318,54;2485,0
319,14;1708,0
319,73;601,00
320,32;186,00
320,91;133,00
321,51;225,00
322,10;148,00
322,69;234,00
323,28;255,00
323,87;327,00
324,47;479,00
325,06;420,00
325,65;551,00
326,24;585,00
326,83;808,00
327,43;810,00
328,02;851,00
328,61;852,00
329,20;813,00
329,79;827,00
330,39;762,00
330,98;811,00
331,57;712,00
332,16;689,00
332,75;742,00
333,34;836,00
333,93;1022,0
334,53;1165,0
335,12;1699,0
335,71;2934,0
336,30;5300,0
336,89;7092,0
337,48;6972,0
338,07;6980,0
338,67;6832,0
339,26;6450,0
339,85;5260,0
340,44;3235,0
341,03;770,00
341,62;324,00
342,21;378,00
342,80;232,00
343,39;279,00
343,99;327,00
344,58;336,00
345,17;210,00
345,76;335,00
346,35;392,00
346,94;388,00
347,53;416,00
348,12;540,00
348,71;514,00
349,30;715,00
349,89;757,00
350,48;774,00
351,07;1000,00
351,66;1203,0
352,26;1546,0
352,85;2275,0
353,44;2579,0
354,03;2667,0
354,62;2856,0
355,21;3176,0
355,80;3494,0
356,39;4191,0
356,98;5564,0
357,57;5788,0
358,16;5760,0
358,75;5904,0
359,34;5585,0
359,93;4934,0
360,52;3905,0
361,11;2203,0
361,70;591,00
362,29;345,00
362,88;375,00
363,47;335,00
364,06;436,00
364,65;467,00
365,24;424,00
365,83;548,00
366,42;600,00
367,01;699,00
367,60;765,00
368,19;615,00
368,78;831,00
369,37;875,00
369,95;1122,0
370,54;1303,0
371,13;1203,0
371,72;1233,0
372,31;1222,0
372,90;1288,0
373,49;1426,0
374,08;1591,0
374,67;1882,0
375,26;2500,0
375,85;2573,0
376,44;2433,0
377,03;2408,0
377,61;2366,0
378,20;2212,0
378,79;2054,0
379,38;1952,0
379,97;2822,0
380,56;2968,0
381,15;3013,0
381,74;3082,0
382,33;3106,0
382,91;2744,0
383,50;2383,0
384,09;1530,0
384,68;1322,0
385,27;1542,0
385,86;1657,0
386,45;1776,0
387,03;1804,0
387,62;2160,0
388,21;2059,0
388,80;1958,0
389,39;1779,0
389,98;1652,0
390,57;1707,0
391,15;1543,0
391,74;1224,0
392,33;1025,0
392,92;969,00
393,51;1067,0
394,09;1335,0
394,68;914,00
395,27;1018,0
395,86;857,00
396,45;908,00
397,03;841,00
397,62;755,00
398,21;730,00
398,80;1033,0
399,39;1292,0
399,97;1281,0
400,56;1323,0
401,15;1191,0
401,74;1204,0
402,32;1099,0
402,91;974,00
403,50;696,00
404,09;650,00
404,67;771,00
405,26;1165,0
405,85;1183,0
406,44;1330,0
407,02;1316,0
407,61;1472,0
408,20;1253,0
408,78;1216,0
409,37;938,00
409,96;701,00
410,55;725,00
411,13;855,00
411,72;764,00
412,31;754,00
412,89;776,00
413,48;862,00
414,07;956,00
414,65;1121,0
415,24;1023,0
415,83;997,00
416,42;1057,0
417,00;1039,0
417,59;999,00
418,18;933,00
418,76;1099,0
419,35;1183,0
419,94;1246,0
420,52;1185,0
421,11;1301,0
421,69;1170,0
422,28;1064,0
422,87;1112,0
423,45;966,00
424,04;690,00
424,63;814,00
425,21;899,00
425,80;954,00
426,38;1102,0
426,97;1202,0
427,56;1185,0
428,14;1207,0
428,73;1120,0
429,31;1159,0
429,90;1031,0
430,49;737,00
431,07;534,00
431,66;546,00
432,24;370,00
432,83;524,00
433,42;572,00
434,00;695,00
434,59;790,00
435,17;813,00
435,76;728,00
436,34;838,00
436,93;759,00
437,51;694,00
438,10;444,00
438,69;358,00
439,27;356,00
439,86;372,00
440,44;331,00
441,03;318,00
441,61;490,00
442,20;468,00
442,78;383,00
443,37;283,00
443,95;439,00
444,54;363,00
445,12;306,00
445,71;306,00
446,29;417,00
446,88;418,00
447,46;382,00
448,05;445,00
448,63;630,00
449,22;444,00
449,80;502,00
450,39;481,00
450,97;377,00
451,56;397,00
452,14;341,00
452,72;315,00
453,31;237,00
453,89;348,00
454,48;298,00
455,06;399,00
455,65;369,00
456,23;360,00
456,81;445,00
457,40;495,00
457,98;404,00
458,57;464,00
459,15;509,00
459,74;392,00
460,32;459,00
460,90;358,00
461,49;263,00
462,07;365,00
462,66;334,00
463,24;303,00
463,82;328,00
464,41;400,00
464,99;316,00
465,57;564,00
466,16;398,00
466,74;431,00
467,33;393,00
467,91;342,00
468,49;367,00
469,08;372,00
469,66;256,00
470,24;344,00
470,83;267,00
471,41;204,00
471,99;305,00
472,58;249,00
473,16;323,00
473,74;277,00
474,33;328,00
474,91;320,00
475,49;245,00
476,08;186,00
476,66;187,00
477,24;312,00
477,82;231,00
478,41;161,00
478,99;177,00
479,57;295,00
480,16;265,00
480,74;300,00
481,32;363,00
481,90;286,00
482,49;280,00
483,07;349,00
483,65;313,00
484,23;383,00
484,82;311,00
485,40;366,00
485,98;317,00
486,56;433,00
487,15;332,00
487,73;430,00
488,31;421,00
488,89;453,00
489,47;423,00
490,06;427,00
490,64;424,00
491,22;354,00
491,80;322,00
492,39;278,00
492,97;284,00
493,55;333,00
494,13;337,00
494,71;326,00
495,29;297,00
495,88;245,00
496,46;282,00
497,04;191,00
497,62;273,00
498,20;251,00
498,78;174,00
499,37;167,00
499,95;325,00
500,53;328,00
501,11;272,00
501,69;310,00
502,27;291,00
